GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Aggregate family income in the past 12 months (in 2013 inflation-adjusted dollars):
HD02_VD14,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 25 to 34 years (dollars)"
HD01_VD15,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 35 to 44 years (dollars)"
HD02_VD15,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 35 to 44 years (dollars)"
HD01_VD16,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 45 to 54 years (dollars)"
HD02_VD16,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 45 to 54 years (dollars)"
HD01_VD17,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 55 to 59 years (dollars)"
HD02_VD17,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 55 to 59 years (dollars)"
HD01_VD18,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 60 to 64 years (dollars)"
HD02_VD18,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 60 to 64 years (dollars)"
HD01_VD19,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 65 to 74 years (dollars)"
HD02_VD19,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 65 to 74 years (dollars)"
HD01_VD20,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 75 years and over (dollars)"
HD02_VD20,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 75 years and over (dollars)"
HD01_VD21,"Estimate; Other family (dollars): - Female householder, no husband present (dollars):"
HD02_VD21,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars):"
HD01_VD22,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 15 to 24 years (dollars)"
HD02_VD22,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 15 to 24 years (dollars)"
HD01_VD23,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 25 to 34 years (dollars)"
HD02_VD23,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 25 to 34 years (dollars)"
HD01_VD24,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 35 to 44 years (dollars)"
HD02_VD24,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 35 to 44 years (dollars)"
HD01_VD25,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 45 to 54 years (dollars)"
HD02_VD25,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 45 to 54 years (dollars)"
HD01_VD26,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 55 to 59 years (dollars)"
HD02_VD26,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 55 to 59 years (dollars)"
HD01_VD27,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 60 to 64 years (dollars)"
HD02_VD27,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 60 to 64 years (dollars)"
HD01_VD28,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 65 to 74 years (dollars)"
HD02_VD28,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 65 to 74 years (dollars)"
HD01_VD29,"Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 75 years and over (dollars)"
HD02_VD29,"Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 75 years and over (dollars)"
