GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
0500000US41039,41039,"Lane County, Oregon",236599,239,34418,1540,16140,882,2737,372,4694,565,6437,450,2272,332,18278,933,2547,366,5149,540,7845,604,2737,346,202181,1553,97886,888,8935,651,24201,988,35320,1106,29430,945,104295,948,6577,575,25370,991,41071,1002,31277,876
0500000US41041,41041,"Lincoln County, Oregon",34867,182,4678,447,1767,251,385,110,577,141,609,164,196,78,2911,327,495,156,926,201,1069,209,421,131,30189,465,14708,253,1403,231,4045,330,5419,360,3841,316,15481,349,1186,230,4408,330,5804,369,4083,305
0500000US41043,41043,"Linn County, Oregon",79046,199,10186,842,4299,452,712,214,1412,322,1733,287,442,144,5887,513,1326,274,2041,314,2211,330,309,95,68860,853,34145,465,3408,353,11022,632,13078,612,6637,475,34715,520,3057,329,10368,633,15261,685,6029,425
0500000US41045,41045,"Malheur County, Oregon",17657,296,3665,480,1744,361,406,145,697,194,561,174,80,48,1921,262,705,198,479,122,652,154,85,51,13992,442,7007,273,1247,179,1983,217,2492,233,1285,155,6985,255,1029,187,2045,230,2820,227,1091,145
0500000US41047,41047,"Marion County, Oregon",199226,570,27065,1321,11371,805,3757,524,3060,385,3526,391,1028,245,15694,939,5126,539,4366,536,5319,619,883,217,172161,1402,84480,894,13768,812,21998,1047,27902,928,20812,766,87681,935,10528,782,22512,761,34414,937,20227,838
0500000US41049,41049,"Morrow County, Oregon",7107,69,860,161,332,96,192,73,81,49,50,35,9,11,528,101,202,70,166,65,140,64,20,20,6247,158,3278,113,793,115,1049,148,1121,128,315,71,2969,114,553,110,1096,133,974,107,346,67
0500000US41051,41051,"Multnomah County, Oregon",521355,444,74294,2334,34675,1414,8116,675,8851,753,10570,761,7138,621,39619,1457,9842,743,8816,664,12699,724,8262,692,447061,2370,220218,1467,18570,877,41797,1314,67456,1665,92395,1645,226843,1492,16287,771,40391,1144,68974,1369,101191,1509
0500000US41053,41053,"Polk County, Oregon",48085,326,5276,671,2429,405,539,202,761,186,831,266,298,115,2847,385,674,166,835,189,1098,281,240,81,42809,731,20636,447,2092,359,5143,492,6613,549,6788,479,22173,419,1573,315,5721,459,8228,558,6651,486
0500000US41055,41055,"Sherman County, Oregon",1344,73,225,43,92,28,30,18,17,9,40,24,5,4,133,35,5,5,79,38,44,18,5,4,1119,81,560,43,30,14,198,43,220,39,112,28,559,50,37,17,166,32,256,40,100,24
0500000US41057,41057,"Tillamook County, Oregon",18164,98,2351,324,875,166,313,112,306,96,149,64,107,50,1476,233,273,99,643,181,520,138,40,27,15813,344,7801,209,877,214,2594,290,2612,267,1718,230,8012,228,650,141,2662,332,2717,270,1983,232
0500000US41059,41059,"Umatilla County, Oregon",45639,327,5787,557,2145,344,712,231,792,196,495,144,146,96,3642,368,1027,213,1193,219,1314,241,108,47,39852,608,20206,410,3964,459,5440,377,7438,437,3364,355,19646,374,2566,300,5446,410,7860,410,3774,383
0500000US41061,41061,"Union County, Oregon",16864,120,2079,292,914,174,165,58,342,111,297,107,110,67,1165,198,207,71,482,121,384,117,92,56,14785,314,7247,183,668,131,2408,242,2359,224,1812,189,7538,220,533,124,2441,228,2761,224,1803,189
0500000US41063,41063,"Wallowa County, Oregon",5187,33,720,167,346,91,50,37,161,63,113,66,22,18,374,98,16,19,103,40,173,77,82,51,4467,167,2184,97,135,43,803,129,654,94,592,101,2283,105,121,41,708,101,896,126,558,92
0500000US41065,41065,"Wasco County, Oregon",17135,131,2510,357,1311,258,473,161,320,109,370,121,148,87,1199,184,379,153,295,103,457,100,68,41,14625,363,7005,272,877,156,1908,235,2476,224,1744,242,7620,190,788,161,2303,252,3027,251,1502,195
0500000US41067,41067,"Washington County, Oregon",356299,337,31966,1478,13578,846,3441,495,3457,419,3861,421,2819,415,18388,975,4751,614,4598,551,6269,630,2770,366,324333,1473,158992,843,12542,806,28331,1123,49158,1462,68961,1482,165341,971,11955,793,31422,1146,55488,1515,66476,1529
0500000US41069,41069,"Wheeler County, Oregon",1041,65,149,40,64,22,15,10,34,17,12,10,3,3,85,23,10,8,37,17,21,12,17,13,892,68,432,40,61,23,169,32,149,34,53,22,460,40,30,13,140,29,186,33,104,27
0500000US41071,41071,"Yamhill County, Oregon",62583,376,6679,740,2887,423,808,230,1105,299,704,184,270,148,3792,466,954,256,1222,200,1179,253,437,161,55904,815,27532,518,2913,357,8476,554,9539,529,6604,429,28372,485,2629,305,8661,521,10029,596,7053,471
