"","fips","HC01_EST_VC02","HC02_EST_VC02","HC03_EST_VC02","HC04_EST_VC02","HC05_EST_VC02","HC01_EST_VC03","HC02_EST_VC03","HC03_EST_VC03","HC04_EST_VC03","HC05_EST_VC03","HC01_EST_VC06","HC02_EST_VC06","HC03_EST_VC06","HC04_EST_VC06","HC05_EST_VC06","HC01_EST_VC07","HC02_EST_VC07","HC03_EST_VC07","HC04_EST_VC07","HC05_EST_VC07","HC01_EST_VC10","HC02_EST_VC10","HC03_EST_VC10","HC04_EST_VC10","HC05_EST_VC10","HC01_EST_VC11","HC02_EST_VC11","HC03_EST_VC11","HC04_EST_VC11","HC05_EST_VC11","HC01_EST_VC12","HC02_EST_VC12","HC03_EST_VC12","HC04_EST_VC12","HC05_EST_VC12","HC01_EST_VC13","HC02_EST_VC13","HC03_EST_VC13","HC04_EST_VC13","HC05_EST_VC13","HC01_EST_VC15","HC02_EST_VC15","HC03_EST_VC15","HC04_EST_VC15","HC05_EST_VC15","HC01_EST_VC17","HC02_EST_VC17","HC03_EST_VC17","HC04_EST_VC17","HC05_EST_VC17","HC01_EST_VC18","HC02_EST_VC18","HC03_EST_VC18","HC04_EST_VC18","HC05_EST_VC18","HC01_EST_VC19","HC02_EST_VC19","HC03_EST_VC19","HC04_EST_VC19","HC05_EST_VC19","HC01_EST_VC20","HC02_EST_VC20","HC03_EST_VC20","HC04_EST_VC20","HC05_EST_VC20","HC01_EST_VC23","HC02_EST_VC23","HC03_EST_VC23","HC04_EST_VC23","HC05_EST_VC23","HC01_EST_VC24","HC02_EST_VC24","HC03_EST_VC24","HC04_EST_VC24","HC05_EST_VC24","HC01_EST_VC27","HC02_EST_VC27","HC03_EST_VC27","HC04_EST_VC27","HC05_EST_VC27","HC01_EST_VC28","HC02_EST_VC28","HC03_EST_VC28","HC04_EST_VC28","HC05_EST_VC28","HC01_EST_VC29","HC02_EST_VC29","HC03_EST_VC29","HC04_EST_VC29","HC05_EST_VC29","HC01_EST_VC32","HC02_EST_VC32","HC03_EST_VC32","HC04_EST_VC32","HC05_EST_VC32","HC01_EST_VC33","HC02_EST_VC33","HC03_EST_VC33","HC04_EST_VC33","HC05_EST_VC33"
"11","41019","43846","22478","2112","4627","14629","2.41","2.91","3.34","3.20","1.26","29217","22478","2112","4627","(X)","2.89","2.88","2.92","2.92","(X)","9857","6217","1064","2576","(X)","18.3","17.0","34.4","14.7","(X)","18.1","21.7","10.8","12.6","(X)","63.6","61.3","54.8","72.7","(X)","43846","22478","2112","4627","14629","25.7","30.5","61.5","63.4","1.2","49.0","50.0","28.1","28.4","57.1","26.2","(X)","(X)","(X)","78.6","13.3","(X)","(X)","(X)","39.7","0.4","(X)","(X)","(X)","(X)","7.6","(X)","(X)","(X)","(X)","69.9","79.6","63.5","64.6","57.5","10.7","4.1","13.7","15.8","18.9","19.4","16.3","22.8","19.7","23.6","68.8","80.3","57.7","48.0","59.2","31.2","19.7","42.3","52.0","40.8"
"12","41021","883","435","21","76","351","2.15","2.71","4.38","3.25","1.09","532","435","21","76","(X)","2.73","2.69","3.00","2.91","(X)","179","120","21","38","(X)","23.5","15.0","38.1","42.1","(X)","16.8","9.2","33.3","31.6","(X)","59.8","75.8","28.6","26.3","(X)","883","435","21","76","351","23.4","31.3","100.0","65.8","0.0","43.5","47.8","0.0","39.5","41.6","36.5","(X)","(X)","(X)","91.7","12.8","(X)","(X)","(X)","32.2","0.0","(X)","(X)","(X)","(X)","5.0","(X)","(X)","(X)","(X)","76.6","89.7","100.0","85.5","57.0","4.8","0.0","0.0","0.0","12.0","18.7","10.3","0.0","14.5","31.1","63.3","80.5","28.6","52.6","46.4","36.7","19.5","71.4","47.4","53.6"
"13","41023","3319","1772","120","234","1193","2.17","2.72","3.64","2.41","1.17","2126","1772","120","234","(X)","2.69","2.71","3.08","2.30","(X)","728","474","81","173","(X)","14.6","15.0","21.0","10.4","(X)","19.0","22.6","14.8","11.0","(X)","66.5","62.4","64.2","78.6","(X)","3319","1772","120","234","1193","23.4","28.6","67.5","77.8","0.6","50.4","55.2","16.7","17.9","52.9","30.5","(X)","(X)","(X)","84.8","13.2","(X)","(X)","(X)","36.6","0.2","(X)","(X)","(X)","(X)","4.0","(X)","(X)","(X)","(X)","70.3","78.4","55.0","50.9","63.5","5.5","0.3","0.0","15.4","11.9","24.2","21.2","45.0","33.8","24.6","70.4","85.6","55.8","44.0","54.3","29.6","14.4","44.2","56.0","45.7"
"14","41025","3113","1760","121","277","955","2.29","2.89","2.66","2.54","1.07","2158","1760","121","277","(X)","2.79","2.88","2.64","2.34","(X)","838","582","66","190","(X)","22.3","15.5","4.5","49.5","(X)","22.2","31.4","0.0","1.6","(X)","55.5","53.1","95.5","48.9","(X)","3113","1760","121","277","955","29.9","35.8","76.0","74.4","0.2","41.4","40.2","26.4","18.1","52.4","27.8","(X)","(X)","(X)","90.5","10.2","(X)","(X)","(X)","33.4","0.1","(X)","(X)","(X)","(X)","4.4","(X)","(X)","(X)","(X)","66.5","73.4","84.3","44.8","57.7","8.9","1.6","0.0","20.6","20.0","24.6","24.9","15.7","34.7","22.3","64.9","79.7","28.1","31.0","52.0","35.1","20.3","71.9","69.0","48.0"
"15","41027","8144","4535","308","610","2691","2.62","3.21","3.85","3.44","1.31","5453","4535","308","610","(X)","3.19","3.19","3.13","3.25","(X)","2461","1913","127","421","(X)","21.0","24.2","13.4","8.6","(X)","22.7","20.5","47.2","25.2","(X)","56.4","55.3","39.4","66.3","(X)","8144","4535","308","610","2691","32.6","43.9","52.9","76.7","1.2","37.0","33.8","57.5","32.8","40.8","24.3","(X)","(X)","(X)","73.7","9.3","(X)","(X)","(X)","28.2","0.5","(X)","(X)","(X)","(X)","5.5","(X)","(X)","(X)","(X)","77.4","87.1","67.5","57.2","66.7","14.0","5.7","16.6","30.3","24.1","8.6","7.2","15.9","12.5","9.2","66.1","79.3","55.5","43.9","50.0","33.9","20.7","44.5","56.1","50.0"
"16","41029","83140","40751","3494","9753","29142","2.42","2.94","3.35","3.40","1.25","53998","40751","3494","9753","(X)","2.93","2.91","2.89","3.03","(X)","21596","13670","2138","5788","(X)","23.1","24.1","30.7","18.0","(X)","19.5","21.8","11.2","16.9","(X)","57.4","54.1","58.1","65.1","(X)","83140","40751","3494","9753","29142","28.7","35.7","70.9","68.0","0.6","42.7","43.9","17.1","23.2","50.6","28.4","(X)","(X)","(X)","81.1","12.2","(X)","(X)","(X)","34.9","0.4","(X)","(X)","(X)","(X)","6.9","(X)","(X)","(X)","(X)","69.7","81.7","69.4","62.5","55.4","17.1","6.2","21.5","24.9","29.1","13.2","12.0","9.0","12.6","15.5","62.2","77.8","38.1","41.1","50.5","37.8","22.2","61.9","58.9","49.5"
"17","41031","7882","3705","753","1048","2376","2.62","2.94","3.51","3.95","1.25","5506","3705","753","1048","(X)","3.09","2.93","3.07","3.69","(X)","2070","1106","370","594","(X)","21.6","10.4","31.4","36.4","(X)","22.6","25.6","21.4","17.7","(X)","55.8","64.0","47.3","46.0","(X)","7882","3705","753","1048","2376","31.5","32.2","62.3","75.4","1.1","39.6","46.6","17.9","25.0","42.0","23.1","(X)","(X)","(X)","76.7","6.9","(X)","(X)","(X)","23.0","0.8","(X)","(X)","(X)","(X)","10.6","(X)","(X)","(X)","(X)","66.3","71.6","63.1","59.3","62.1","11.2","4.9","20.2","18.9","14.9","22.5","23.5","16.7","21.9","22.9","65.4","77.0","48.9","54.3","57.5","34.6","23.0","51.1","45.7","42.5"
"18","41033","34390","16877","1692","3440","12381","2.37","2.90","3.30","3.51","1.21","22009","16877","1692","3440","(X)","2.91","2.87","2.77","3.14","(X)","7391","4630","1022","1739","(X)","21.1","20.3","24.0","21.8","(X)","17.3","17.3","13.4","19.4","(X)","61.6","62.4","62.6","58.8","(X)","34390","16877","1692","3440","12381","24.3","29.0","66.6","62.8","1.5","51.6","53.0","23.3","30.3","59.5","30.2","(X)","(X)","(X)","84.0","15.8","(X)","(X)","(X)","43.8","0.4","(X)","(X)","(X)","(X)","5.8","(X)","(X)","(X)","(X)","72.6","82.6","70.8","73.3","59.0","11.8","4.5","12.8","13.6","21.1","15.6","12.9","16.4","13.1","19.9","66.2","79.5","47.7","46.3","56.2","33.8","20.5","52.3","53.8","43.8"
"19","41035","27378","13327","1728","3258","9065","2.38","2.94","3.00","2.89","1.26","18313","13327","1728","3258","(X)","2.85","2.92","2.59","2.71","(X)","7449","4526","1039","1884","(X)","23.8","16.2","38.5","33.9","(X)","17.2","21.7","8.2","11.6","(X)","59.0","62.1","53.3","54.6","(X)","27378","13327","1728","3258","9065","31.2","37.5","66.0","67.1","2.4","41.5","43.4","18.3","27.6","48.2","26.6","(X)","(X)","(X)","80.4","10.8","(X)","(X)","(X)","32.8","0.4","(X)","(X)","(X)","(X)","5.9","(X)","(X)","(X)","(X)","72.1","82.9","71.9","62.3","59.6","11.7","3.4","11.3","16.1","22.2","16.3","13.6","16.8","21.5","18.2","65.8","81.8","47.7","46.1","52.8","34.2","18.2","52.3","53.9","47.2"
"20","41037","3566","1878","73","197","1418","2.09","2.67","2.22","3.01","1.18","2148","1878","73","197","(X)","2.64","2.65","2.00","2.71","(X)","721","599","32","90","(X)","26.9","24.7","25.0","42.2","(X)","11.5","13.9","0.0","0.0","(X)","61.6","61.4","75.0","57.8","(X)","3566","1878","73","197","1418","23.8","35.5","52.1","59.4","1.8","45.1","47.0","39.7","13.7","47.2","33.0","(X)","(X)","(X)","83.0","11.8","(X)","(X)","(X)","29.8","0.0","(X)","(X)","(X)","(X)","5.6","(X)","(X)","(X)","(X)","64.1","67.5","41.1","77.2","59.0","4.3","1.0","0.0","8.6","8.3","31.6","31.6","58.9","14.2","32.7","66.2","76.8","64.4","33.0","56.8","33.8","23.2","35.6","67.0","43.2"
"21","41039","144912","64192","6584","15472","58664","2.38","2.99","3.13","3.13","1.43","86248","64192","6584","15472","(X)","2.90","2.95","2.65","2.83","(X)","33976","21815","3539","8622","(X)","23.0","21.8","27.0","24.4","(X)","17.8","20.1","9.2","15.3","(X)","59.3","58.1","63.8","60.4","(X)","144912","64192","6584","15472","58664","26.1","36.2","61.4","64.0","1.1","38.1","40.9","23.8","25.1","40.0","28.8","(X)","(X)","(X)","71.1","10.9","(X)","(X)","(X)","26.9","0.8","(X)","(X)","(X)","(X)","7.4","(X)","(X)","(X)","(X)","68.9","85.4","68.7","63.9","52.0","22.0","6.8","21.9","27.3","37.2","9.2","7.8","9.4","8.8","10.8","59.6","79.1","46.6","40.8","44.6","40.4","20.9","53.4","59.2","55.4"
