GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
0500000US41019,41019,"Douglas County, Oregon",102513,351,18470,1467,6223,799,329,123,416,140,1397,307,1271,236,1290,338,1425,333,95,87,12247,1053,84043,1480,16340,895,569,199,768,206,3158,346,3796,366,3904,346,3770,487,375,147,67703,1090
0500000US41021,41021,"Gilliam County, Oregon",1854,23,219,64,44,33,0,12,0,12,9,11,6,8,20,20,9,10,0,12,175,56,1635,71,298,69,3,6,19,15,65,30,90,28,89,40,32,24,0,12,1337,76
0500000US41023,41023,"Grant County, Oregon",7074,63,1206,248,381,136,21,20,8,14,85,44,75,48,110,56,82,44,0,17,825,170,5868,266,1029,126,73,38,49,28,230,62,260,74,294,52,91,50,32,19,4839,196
0500000US41025,41025,"Harney County, Oregon",6933,113,1222,252,433,134,56,68,22,19,101,69,127,68,103,67,9,15,15,19,789,169,5711,297,1121,168,116,63,25,20,248,94,214,54,324,47,122,65,72,57,4590,188
0500000US41027,41027,"Hood River County, Oregon",21434,165,2444,613,792,312,18,22,65,84,146,88,151,101,205,113,196,104,11,19,1652,407,18990,601,4518,433,235,132,303,143,1133,242,1040,195,1013,171,568,209,226,105,14472,439
0500000US41029,41029,"Jackson County, Oregon",195791,533,33108,2109,10806,1083,688,250,652,249,2393,417,2197,435,1585,343,3156,406,135,69,22302,1442,162683,2154,33510,1417,1791,374,1564,287,7192,571,7537,610,7989,458,6287,654,1150,222,129173,1644
0500000US41031,41031,"Jefferson County, Oregon",19714,319,3599,557,1339,320,105,88,126,60,358,156,286,91,192,100,271,136,1,2,2260,351,16115,615,3531,365,173,72,198,99,823,185,805,170,891,173,563,137,78,72,12584,453
0500000US41033,41033,"Josephine County, Oregon",79022,367,15526,1240,4087,588,90,63,243,121,1251,308,944,232,950,240,492,173,117,110,11439,895,63496,1227,12092,714,280,134,398,134,2712,339,2991,320,3035,324,2348,379,328,151,51404,929
0500000US41035,41035,"Klamath County, Oregon",62798,326,11751,1130,3906,573,146,70,227,116,674,139,830,212,743,221,1152,245,134,99,7845,748,51047,1238,11164,697,569,152,654,169,2061,257,2537,251,2605,229,2361,379,377,134,39883,882
0500000US41037,41037,"Lake County, Oregon",7298,169,1444,318,370,211,7,9,0,17,70,57,62,63,110,84,121,83,0,17,1074,234,5854,381,1024,211,25,33,47,33,219,76,319,95,289,102,63,43,62,48,4830,302
0500000US41039,41039,"Lane County, Oregon",335679,785,66338,2622,30108,1620,825,194,777,197,3015,401,3455,511,3431,452,17186,949,1419,303,36230,1681,269341,2636,60725,1562,3428,437,2607,292,11265,670,13158,649,12436,566,14452,928,3379,421,208616,1962
0500000US41041,41041,"Lincoln County, Oregon",44203,200,6943,657,1793,327,34,23,96,49,368,111,452,125,346,149,491,173,6,10,5150,483,37260,663,5917,369,462,129,205,76,1212,151,1323,171,1607,156,823,187,285,104,31343,583
0500000US41043,41043,"Linn County, Oregon",111947,414,18914,1410,6831,782,312,165,252,115,1514,254,1500,376,1410,286,1794,365,49,40,12083,899,93033,1506,21533,941,1035,195,1063,257,4493,462,5022,493,4821,357,4347,535,752,212,71500,1006
0500000US41045,41045,"Malheur County, Oregon",26487,341,7021,780,2701,356,94,61,160,70,760,188,485,140,569,152,597,177,36,33,4320,546,19466,728,4951,409,169,66,179,57,1044,147,1319,184,1180,146,920,199,140,47,14515,515
0500000US41047,41047,"Marion County, Oregon",295602,921,53245,2648,21091,1574,1277,330,1412,291,5270,668,4596,660,3989,452,4186,542,361,132,32154,1539,242357,2748,58864,1716,2502,357,3123,412,12739,848,12845,742,14245,696,11176,699,2234,400,183493,1839
0500000US41049,41049,"Morrow County, Oregon",10700,67,1795,329,657,184,39,28,65,39,181,72,243,101,96,48,33,31,0,19,1138,205,8905,330,2285,222,58,31,162,57,413,101,614,88,708,120,292,117,38,30,6620,211
0500000US41051,41051,"Multnomah County, Oregon",705850,1095,124183,3699,46414,1987,1742,338,2548,393,8107,745,7594,656,7036,702,15114,979,4273,515,77769,2463,581667,3596,130560,1953,9888,607,6011,528,24571,1000,22944,997,23568,815,32477,1311,11101,678,451107,3267
0500000US41053,41053,"Polk County, Oregon",71529,363,11349,1283,5248,775,127,72,306,163,884,272,791,240,710,241,2314,427,116,88,6101,821,60180,1421,15341,840,883,230,636,186,3100,402,3313,428,3511,372,3265,420,633,225,44839,1052
0500000US41055,41055,"Sherman County, Oregon",1802,89,381,74,80,30,10,13,9,7,19,10,13,8,11,7,14,13,4,4,301,65,1421,115,280,61,16,14,19,14,63,26,59,25,70,23,38,14,15,11,1141,86
0500000US41057,41057,"Tillamook County, Oregon",23784,162,3800,534,1236,263,40,40,42,47,230,127,326,171,334,126,238,92,26,29,2564,396,19984,538,3604,317,226,91,226,95,653,133,933,149,865,111,609,176,92,61,16380,414
0500000US41059,41059,"Umatilla County, Oregon",69005,502,10861,991,3962,598,301,135,289,121,855,204,863,228,899,270,682,197,73,47,6899,682,58144,1026,15468,592,737,183,976,179,2959,349,4138,384,3589,284,2612,427,457,140,42676,906
0500000US41061,41061,"Union County, Oregon",24207,197,4320,563,1853,325,67,37,73,55,389,152,133,56,165,79,933,221,93,68,2467,353,19887,562,4396,320,305,99,309,91,903,151,1056,128,1023,132,694,154,106,60,15491,361
0500000US41063,41063,"Wallowa County, Oregon",6681,47,860,188,152,70,1,3,13,13,35,34,33,29,5,5,34,27,31,37,708,155,5821,192,1120,98,95,34,53,29,256,57,287,51,286,60,116,60,27,31,4701,183
0500000US41065,41065,"Wasco County, Oregon",23660,204,4152,629,1220,328,106,64,46,30,170,94,347,190,202,101,299,117,50,54,2932,418,19508,646,4327,429,237,86,229,112,848,162,1073,195,1035,135,699,167,206,114,15181,471
0500000US41067,41067,"Washington County, Oregon",512402,928,56402,2589,20417,1432,826,219,1328,293,4467,527,3620,482,3887,499,5294,666,995,250,35985,1894,456000,2691,120369,1892,8086,528,6816,604,24933,858,25663,990,25840,670,23022,1132,6009,596,335631,2044
0500000US41069,41069,"Wheeler County, Oregon",1234,83,191,54,38,27,2,3,1,2,1,3,9,9,23,18,2,3,0,12,153,41,1043,82,149,49,5,8,1,3,22,15,46,21,46,24,20,17,9,6,894,70
0500000US41071,41071,"Yamhill County, Oregon",90997,591,13102,1344,5426,748,205,102,333,143,979,283,1122,233,1127,248,1559,450,101,73,7676,860,77895,1550,18678,738,869,185,997,257,4176,428,4566,452,4374,268,3036,371,660,154,59217,1077
