GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
0500000US41019,41019,"Douglas County, Oregon",87637,240,14314,1136,5979,611,324,108,2068,317,3587,496,8335,728,453,162,2903,422,4979,543,73323,1174,36670,653,13685,615,8323,710,14662,585,36653,717,10080,676,9705,592,16868,641
0500000US41021,41021,"Gilliam County, Oregon",1572,60,191,52,87,27,3,5,29,22,55,25,104,36,0,12,22,19,82,31,1381,71,741,54,428,54,152,47,161,34,640,55,235,51,166,37,239,45
0500000US41023,41023,"Grant County, Oregon",6057,40,988,192,374,101,48,30,130,57,196,75,614,114,74,27,230,64,310,93,5069,199,2593,113,840,109,865,131,888,110,2476,116,678,95,761,124,1037,81
0500000US41025,41025,"Harney County, Oregon",5852,87,890,169,349,93,77,40,80,41,192,90,541,106,69,52,211,82,261,89,4962,192,2586,112,1204,119,632,141,750,107,2376,110,664,129,787,121,925,143
0500000US41027,41027,"Hood River County, Oregon",17221,133,1804,387,783,200,71,56,350,151,362,141,1021,275,37,35,444,194,540,142,15417,417,7721,232,4514,327,1717,255,1490,212,7696,283,2788,288,2761,307,2147,232
0500000US41029,41029,"Jackson County, Oregon",164261,394,25419,1466,11810,727,905,237,5010,554,5895,671,13609,1005,949,219,5438,609,7222,663,138842,1469,67621,723,27651,1057,17830,926,22140,709,71221,1032,21854,806,21004,1063,28363,845
0500000US41031,41031,"Jefferson County, Oregon",15878,313,2525,383,930,209,95,80,312,124,523,141,1595,269,83,61,589,150,923,206,13353,456,6818,286,3077,317,1638,276,2103,204,6535,300,2033,234,1864,236,2638,248
0500000US41033,41033,"Josephine County, Oregon",67719,269,12195,946,5532,528,500,159,1824,356,3208,400,6663,590,319,154,1848,346,4496,504,55524,952,26892,575,9570,553,5748,501,11574,546,28632,624,7111,520,7065,509,14456,653
0500000US41035,41035,"Klamath County, Oregon",52603,300,9284,834,4055,443,296,102,1572,280,2187,302,5229,530,223,100,1863,347,3143,391,43319,873,22054,430,9313,508,5324,411,7417,333,21265,562,6193,536,5976,489,9096,441
0500000US41037,41037,"Lake County, Oregon",6290,171,1179,244,488,127,39,25,229,95,220,90,691,175,27,18,246,93,418,149,5111,318,2663,183,1363,170,474,112,826,135,2448,198,616,126,940,173,892,110
0500000US41039,41039,"Lane County, Oregon",286311,584,55900,1972,26989,1163,1477,305,12880,952,12632,796,28911,1333,1529,257,13014,950,14368,843,230411,1930,112372,1201,48983,1181,30253,1125,33136,902,118039,1298,37157,1051,36533,1121,44349,884
0500000US41041,41041,"Lincoln County, Oregon",38661,195,5656,530,2318,327,278,118,899,203,1141,193,3338,342,193,86,1302,255,1843,239,33005,580,16161,343,6633,399,3813,351,5715,286,16844,387,5064,364,4949,348,6831,337
0500000US41043,41043,"Linn County, Oregon",91990,267,13808,1011,5749,505,670,233,1872,340,3207,401,8059,642,370,141,2613,383,5076,516,78182,996,39197,516,17989,699,8887,671,12321,605,38985,657,12391,561,10765,637,15829,710
0500000US41045,41045,"Malheur County, Oregon",21057,334,5042,574,2313,432,379,132,705,146,1229,386,2729,298,231,115,886,184,1612,242,16015,534,8212,337,3660,270,2038,260,2514,215,7803,302,2377,225,2397,242,3029,217
0500000US41047,41047,"Marion County, Oregon",237156,646,36585,1642,15898,1002,1952,393,6571,751,7375,700,20687,1043,1320,312,8223,713,11144,749,200571,1677,98866,1044,47018,1258,25190,1028,26658,913,101705,1048,36028,1131,29619,1059,36058,867
0500000US41049,41049,"Morrow County, Oregon",8468,71,1203,227,476,138,49,41,215,95,212,83,727,146,71,40,308,91,348,103,7265,228,3864,155,2144,194,800,133,920,135,3401,154,1082,152,950,154,1369,167
0500000US41051,41051,"Multnomah County, Oregon",600147,878,98327,2922,45604,1650,3957,531,19398,1125,22249,1345,52723,1844,3062,406,21565,1183,28096,1394,501820,2870,248473,1650,130609,1976,66843,1587,51021,1240,253347,1897,101873,1831,77708,1743,73766,1415
0500000US41053,41053,"Polk County, Oregon",58117,290,8657,956,3644,588,317,167,1686,387,1641,401,5013,551,299,143,2042,346,2672,371,49460,972,24218,573,11127,629,6139,549,6952,401,25242,580,8266,542,7225,526,9751,391
0500000US41055,41055,"Sherman County, Oregon",1516,75,284,51,113,33,16,15,53,25,44,17,171,40,7,6,78,38,86,29,1232,90,627,46,313,42,126,28,188,28,605,57,171,36,166,34,268,42
0500000US41057,41057,"Tillamook County, Oregon",20287,138,2893,381,1136,214,212,95,433,134,491,124,1757,258,180,77,515,157,1062,211,17394,390,8678,244,3556,246,1948,243,3174,205,8716,246,2610,309,2349,251,3757,259
0500000US41059,41059,"Umatilla County, Oregon",54698,453,7775,680,3150,385,436,183,1246,276,1468,277,4625,441,418,170,1895,295,2312,322,46923,748,23858,498,12206,452,5980,471,5672,393,23065,459,7751,441,7486,493,7828,438
0500000US41061,41061,"Union County, Oregon",20187,188,3428,383,1403,232,90,45,579,130,734,164,2025,267,83,53,890,173,1052,181,16759,408,8412,248,3568,210,2388,263,2456,191,8347,267,2564,252,2593,225,3190,193
0500000US41063,41063,"Wallowa County, Oregon",5702,63,765,168,360,92,28,21,90,46,242,81,405,99,40,36,101,45,264,89,4937,175,2434,107,814,114,678,109,942,123,2503,111,755,112,922,124,826,97
0500000US41065,41065,"Wasco County, Oregon",19854,148,3400,418,1730,273,146,82,722,186,862,196,1670,265,99,62,683,186,888,165,16454,435,7975,304,3692,325,2102,280,2181,192,8479,265,2639,258,2364,247,3476,259
0500000US41067,41067,"Washington County, Oregon",414277,660,42367,1834,18188,924,2242,372,7884,616,8062,623,24179,1191,1904,382,9665,648,12610,883,371910,1932,183427,958,105001,1276,42292,1256,36134,1194,188483,1271,69613,1467,56837,1514,62033,1245
0500000US41069,41069,"Wheeler County, Oregon",1104,69,163,43,66,22,15,10,22,15,29,15,97,27,0,12,40,19,57,18,941,71,464,43,194,28,109,31,161,27,477,41,142,30,138,26,197,28
0500000US41071,41071,"Yamhill County, Oregon",73584,523,9550,1009,4346,626,323,145,1891,372,2132,419,5204,573,299,145,1860,315,3045,401,64034,1122,31820,701,16196,578,7750,619,7874,389,32214,662,10542,561,9705,663,11967,465
