GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
0500000US41019,41019,"Douglas County, Oregon",21713,1103,6755,678,234,119,165,107,69,51,2333,361,887,202,1446,293,4188,526,2292,355,1896,356,14958,834,5518,608,3709,442,1809,332,2756,414,1834,339,922,273,6684,518,5742,482,942,199
0500000US41021,41021,"Gilliam County, Oregon",444,73,135,43,3,5,3,5,0,12,41,24,7,7,34,24,91,40,61,30,30,21,309,68,170,51,146,44,24,20,73,35,68,34,5,9,66,23,66,23,0,12
0500000US41023,41023,"Grant County, Oregon",1556,174,482,83,42,29,13,9,29,23,199,70,100,49,99,52,241,56,138,35,103,47,1074,160,284,80,224,68,60,30,365,101,315,99,50,37,425,88,403,87,22,17
0500000US41025,41025,"Harney County, Oregon",1156,189,335,108,51,48,51,48,0,17,145,74,96,59,49,31,139,59,97,50,42,26,821,145,290,81,269,78,21,21,216,67,156,58,60,41,315,105,286,102,29,32
0500000US41027,41027,"Hood River County, Oregon",4854,655,1085,287,50,55,8,13,42,52,461,210,153,120,308,123,574,180,124,64,450,175,3769,564,2225,460,1110,220,1115,425,679,194,451,162,228,127,865,192,845,193,20,21
0500000US41029,41029,"Jackson County, Oregon",44288,1360,13000,888,841,202,466,172,375,180,5093,519,2143,371,2950,394,7066,654,3784,417,3282,503,31288,1205,12220,858,8092,614,4128,467,7566,837,4758,506,2808,494,11502,737,9899,699,1603,372
0500000US41031,41031,"Jefferson County, Oregon",3596,412,968,186,54,53,13,17,41,57,229,88,14,20,215,81,685,190,378,124,307,118,2628,365,1391,303,989,236,402,136,574,193,376,162,198,97,663,160,606,144,57,40
0500000US41033,41033,"Josephine County, Oregon",17763,1029,6028,580,203,136,43,31,160,130,1667,317,787,220,880,262,4158,499,2400,406,1758,334,11735,771,3449,462,2247,391,1202,301,2493,365,1728,311,765,200,5793,441,5176,386,617,178
0500000US41035,41035,"Klamath County, Oregon",12875,755,4379,434,58,32,36,27,22,22,1750,300,918,224,832,232,2571,314,1639,217,932,219,8496,560,2992,375,2033,266,959,232,1966,301,1240,202,726,214,3538,380,3199,343,339,113
0500000US41037,41037,"Lake County, Oregon",1780,246,582,169,36,27,6,9,30,25,258,117,159,74,99,64,288,112,205,83,83,55,1198,198,538,121,448,118,90,66,251,109,223,101,28,24,409,113,377,102,32,32
0500000US41039,41039,"Lane County, Oregon",95632,2102,36608,1351,1218,269,509,163,709,221,18686,1028,7932,458,10754,891,16704,841,8385,538,8319,771,59024,1530,24350,1024,15865,771,8485,648,16252,914,10177,596,6075,611,18422,809,15796,730,2626,361
0500000US41041,41041,"Lincoln County, Oregon",10852,650,3109,364,139,87,114,76,25,26,1304,256,590,150,714,202,1666,234,1041,185,625,176,7743,557,2820,340,2141,282,679,163,1707,277,1181,226,526,141,3216,328,2801,278,415,122
0500000US41043,41043,"Linn County, Oregon",21752,1169,6792,680,319,126,196,101,123,79,2148,430,796,213,1352,359,4325,482,2169,324,2156,348,14960,889,6746,580,4245,434,2501,426,2864,423,1809,283,1055,310,5350,471,4662,427,688,198
0500000US41045,41045,"Malheur County, Oregon",5136,500,2366,459,199,96,79,65,120,79,589,178,284,109,305,144,1578,414,766,174,812,384,2770,301,1145,225,812,163,333,117,686,190,427,118,259,136,939,138,889,133,50,32
0500000US41047,41047,"Marion County, Oregon",55607,1638,15998,981,500,170,316,131,184,102,6611,761,2548,402,4063,587,8887,783,3814,430,5073,603,39609,1384,18546,977,12246,715,6300,708,8529,825,5283,547,3246,518,12534,659,10772,539,1762,314
0500000US41049,41049,"Morrow County, Oregon",1531,260,325,88,23,29,0,19,23,29,160,65,70,38,90,52,142,53,45,27,97,49,1206,248,697,201,361,101,336,163,183,70,139,66,44,28,326,93,315,93,11,17
0500000US41051,41051,"Multnomah County, Oregon",221570,3733,58033,1983,2694,427,1483,308,1211,297,26544,1193,11080,691,15464,942,28795,1276,15629,743,13166,987,163537,3097,87194,2267,57037,1466,30157,1355,45329,1660,27860,1137,17469,1097,31014,992,26744,911,4270,536
0500000US41053,41053,"Polk County, Oregon",13676,834,4326,531,24,28,24,28,0,28,2235,381,825,215,1410,337,2067,379,1150,227,917,235,9350,709,4032,554,2643,388,1389,365,2182,403,1383,311,799,244,3136,363,2679,318,457,205
0500000US41055,41055,"Sherman County, Oregon",481,69,187,43,6,7,5,6,1,3,94,42,48,33,46,24,87,35,51,21,36,23,294,50,109,28,85,24,24,12,64,22,47,20,17,11,121,29,107,27,14,8
0500000US41057,41057,"Tillamook County, Oregon",5382,491,1445,253,79,39,62,35,17,23,513,162,308,130,205,104,853,176,454,118,399,145,3937,383,1601,323,1032,219,569,187,866,155,576,125,290,114,1470,245,1229,188,241,122
0500000US41059,41059,"Umatilla County, Oregon",12842,778,3965,498,329,187,93,59,236,185,1456,294,625,162,831,215,2180,361,995,212,1185,278,8877,572,4083,439,2983,362,1100,230,2263,369,1253,246,1010,251,2531,280,2371,267,160,99
0500000US41061,41061,"Union County, Oregon",5344,468,2100,298,51,49,13,12,38,47,1058,205,530,135,528,150,991,174,575,112,416,119,3244,368,1398,254,999,189,399,123,850,170,505,109,345,133,996,153,850,122,146,78
0500000US41063,41063,"Wallowa County, Oregon",1462,162,430,98,40,37,39,37,1,2,111,41,70,34,41,27,279,82,185,54,94,53,1032,145,310,84,247,73,63,40,292,70,200,51,92,47,430,95,408,86,22,22
0500000US41065,41065,"Wasco County, Oregon",6185,446,2218,280,113,83,17,22,96,78,959,228,101,45,858,238,1146,210,394,91,752,190,3967,390,1600,255,897,159,703,184,1117,286,596,136,521,243,1250,184,1123,157,127,77
0500000US41067,41067,"Washington County, Oregon",101563,2185,20716,1224,982,227,413,157,569,191,9333,780,3551,397,5782,660,10401,878,4815,502,5586,700,80847,1781,44619,1711,30638,1077,13981,1097,18600,1210,11027,750,7573,825,17628,797,15859,723,1769,279
0500000US41069,41069,"Wheeler County, Oregon",259,48,52,21,9,10,9,10,0,12,10,10,6,6,4,7,33,14,29,14,4,4,207,45,67,28,53,24,14,11,48,25,31,14,17,22,92,28,87,27,5,5
0500000US41071,41071,"Yamhill County, Oregon",15382,955,4726,619,190,114,40,37,150,106,1971,370,629,140,1342,340,2565,446,1115,235,1450,374,10656,686,4914,480,2970,371,1944,336,2240,402,1177,233,1063,283,3502,352,3253,336,249,87
